Name,Year,Status,Birth Date,Birth Place,Gender,Alma Mater,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission,Country
Michael J. Bloomfield,1995.0,Retired,3/16/1959,"Flint, MI",Male,US Air Force Academy; Old Dominion University,Colonel,US Air Force (Retired),3,779,0.0,0.0,"STS-86 (Atlantis), STS-97 (Endeavor), STS-110 (Atlantis)",,,USA
Guion S. Bluford,1978.0,Retired,11/22/1942,"Philadelphia, PA",Male,Pennsylvania State University; Air Force Institute of Technology; University of Houston-Clear Lake,Colonel,US Air Force (Retired),4,689,0.0,0.0,"STS-8 (Challenger), STS-61-A (Challenger), STS-39 (Discovery), STS-53 (Discovery)",,,USA
Karol J. Bobko,1969.0,Retired,12/23/1937,"New York, NY",Male,US Air Force Academy; University of Southern California,Colonel,US Air Force (Retired),3,386,0.0,0.0,"STS-6 (Challenger), STS-51-D (Discovery), STS-51-J (Atlantis)",,,USA
Eric A. Boe,2000.0,Active,10/1/1964,"Miami, FL",Male,US Air Force Academy; Georgia Institute of Technology,Colonel,US Air Force,2,687,0.0,0.0,"STS-126 (Endeavor), STS-133 (Discovery)",,,USA
Charles F. Bolden,1980.0,Management,8/19/1946,"Columbia, SC",Male,US Naval Academy; University of Southern California,Major General,US Marine Corps (Retired),4,680,0.0,0.0,"STS-61C (Columbia), STS-31 (Discovery), STS-45 (Atlantis), STS-60 (Discovery)",,,USA
Frank Borman,1962.0,Retired,3/14/1928,"Gary, IN",Male,US Military Academy; California Institute of Technology,Colonel,US Air Force (Retired),2,477,0.0,0.0,"Gemini 7, Apollo 8",,,USA
Stephen G. Bowen,2000.0,Active,2/13/1964,"Cohasset, MA",Male,US Naval Academy; MIT,Captain,US Navy,3,970,7.0,47.0,"STS-126 (Endeavor), STS-132 (Atlantis), STS-133 (Discovery)",,,USA
Kenneth D. Bowersox,1987.0,Retired,11/14/1956,"Portsmouth, VA",Male,US Naval Academy; Columbia University,Captain,US Navy (Retired),5,5078,2.0,13.0,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (Columbia), STS-82 (Discovery), STS-113 (Endeavor)",,,USA
Charles E. Brady,1992.0,Deceased,8/12/1951,"Pinehurst, NC",Male,University of North Carolina at Chapel Hill; Duke University,Captain,US Navy,1,405,0.0,0.0,STS-78 (Columbia),7/23/2006,,USA
Vance D. Brand,1966.0,Retired,5/9/1931,"Longmont, CA",Male,University of Colorado; University of California Los Angeles,,US Marine Corps Reserves,4,752,0.0,0.0,"Apollo-Soyuz, STS-5 (Columbia), STS-41-B (Challenger), STS-35 (Columbia)",,,USA
Daniel C. Brandenstein,1978.0,Retired,1/17/1943,"Watertown, WI",Male,University of Wisconsin,Captain,US Navy (Retired),4,789,0.0,0.0,"STS-8 (Challenger), STS-51-G (Discovery), STS-32 (Columbia), STS-49 (Endeavor)",,,USA
Randolph Bresnik,2004.0,Active,9/11/1967,"Fort Knox, KY",Male,The Citadel; University of Tennessee-Knoxville,Colonel,US Marine Corps,2,3588,5.0,32.0,"STS-129 (Atlantis), Soyuz MS-05",,,USA
Roy D. Bridges,1980.0,Retired,7/19/1943,"Atlanta, GA",Male,US Air Force Academy; Purdue University,Major General,US Air Force (Retired),1,190,0.0,0.0,STS-51-F (Challenger),,,USA
Curtis L. Brown,1987.0,Retired,3/11/1956,"Elizabethtown, NC",Male,US Air Force Academy,Colonel,US Air Force (Retired),6,1383,0.0,0.0,"STS-47 (Endeavor), STS-66 (Atlantis), STS-77 (Endeavor), STS-85 (Discovery), STS-95 (Discovery), STS-103 (Discovery)",,,USA
David M. Brown,1996.0,Deceased,4/16/1956,"Arlington, VA",Male,College of William & Mary; Eastern Virginia Medical School,Captain,US Navy,1,382,0.0,0.0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia),USA
Mark N. Brown,1984.0,Retired,11/18/1951,"Valparaiso, IN",Male,Purdue University; Air Force Institute of Technology,Colonel,US Air Force (Retired),2,249,0.0,0.0,"STS-28 (Columbia), STS-48 (Discovery)",,,USA
James F. Buchli,1978.0,Retired,6/20/1945,"New Rockford, ND",Male,US Naval Academy; University of West Florida,Colonel,US Marine Corps (Retired),4,490,0.0,0.0,"STS-51-C (Discovery), STS-61-A (Challenger), STS-29 (Discovery), STS-48 (Discovery",,,USA
Jay Clark Buckey,,Retired,6/6/1956,"New York, NY",Male,Cornell University,,,1,381,0.0,0.0,STS-90 (Columbia),,,USA
John S. Bull,1966.0,Deceased,9/25/1934,"Memphis, TN",Male,Rice University; Stanford University,,,0,0,0.0,0.0,,8/11/2008,,USA
Daniel C. Burbank,1996.0,Active,7/27/1961,"Machester, CT",Male,US Coast Guard Academy; Embry-Riddle Aeronautical University,Captain,US Coast Guard (Retired),3,4512,1.0,7.0,"STS-106 (Atlantis), STS-115 (Atlantis), Soyuz TMA-22",,,USA
Daniel W. Bursch,1990.0,Retired,7/25/1957,"Bristol, PA",Male,US Naval Academy; US Naval Postgraduate School,Captain,US Navy (Retired),4,5446,2.0,12.0,"STS-51 (Discovery), STS-68 (Endeavor), STS-77 (Endeavor), STS-108 (Endeavor)",,,USA
Robert D. Cabana,1985.0,Management,1/23/1949,"Minneapolis, MN",Male,US Naval Academy,Colonel,US Marine Corps (Retired),4,910,0.0,0.0,"STS-41 (Discovery), STS-53 (Discovery), STS-65 (Columbia), STS-88 (Endeavor)",,,USA
Yvonne D. Cagle,1996.0,Management,4/24/1959,"West Point, NY",Female,San Francisco State University,Colonel,US Air Force,0,0,0.0,0.0,,,,USA
Fernando Caldeiro,1996.0,Deceased,6/12/1958,"Buenos Aires, Argentina",Male,University of Arizona; University of Central Florida,,,0,0,0.0,0.0,,10/3/2009,,USA
Tracy E. Caldwell Dyson,1998.0,Active,8/14/1969,"Arcadia, CA",Female,California State University-Fullerton; University of California-Davis,,,2,4531,3.0,23.0,"STS-118 (Endeavor), Soyuz TMA-18",,,USA
Charles J. Camarda,1996.0,Management,5/8/1952,"Queens, NY",Male,Polytechnic Institute of Brooklyn; George Washington University; Virginia Polytechnic Institute,,,1,333,0.0,0.0,STS-114 (Discovery),,,USA
Kenneth D. Cameron,1984.0,Retired,11/29/1949,"Cleveland, OH",Male,MIT; Michigan State University,Colonel,US Marine Corps (Retired),3,562,0.0,0.0,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)",,,USA
Duane G. Carey,1996.0,Retired,4/30/1957,"St. Paul, MN",Male,University of Minnesota-Minneapolis,Lieutenant Colonel,US Air Force (Retired),1,262,0.0,0.0,STS-109 (Columbia),,,USA
M. Scott Carpenter,1959.0,Retired,5/1/1925,"Boulder, CO",Male,University of Colorado,Commander,US Navy (Retired),1,4,0.0,0.0,Mercury 7,,,USA
Gerald P. Carr,1966.0,Retired,8/22/1932,"Denver, CO",Male,University of Southern California; US Naval Postgraduate School; Princeton University,Colonel,US Marine Corps (Retired),1,2017,3.0,16.0,Skylab 4,,,USA
Manley Lanier Carter,1984.0,Deceased,8/15/1947,"Macon, GA",Male,Emory University,Captain,US Navy,1,120,0.0,0.0,STS-33 (Discovery),4/5/1991,,USA
John H. Casper,1984.0,Management,7/9/1943,"Greenville, SC",Male,US Air Force Academy; Purdue University,Colonel,US Air Force (Retired),4,825,0.0,0.0,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)",,,USA
Christopher J. Cassidy,2004.0,Active,1/4/1970,"Salem, MA",Male,US Naval Academy; MIT,Commander,US Navy,1,4376,6.0,31.0,"STS-127 (Endeavor), Soyuz TMA-08M",,,USA
Robert Cenker,,Retired,11/5/1948,"Uniontown, PA",Male,Pennsylvania State University; Rutgers University,,,1,146,0.0,0.0,STS-61-C (Columbia),,,USA
Eugene A. Cernan,1963.0,Retired,3/14/1934,"Chicago, IL",Male,Purdue University; US Naval Postgraduate School,Captain,US Navy (Retired),3,566,4.0,24.0,"Gemini 9, Apollo 10, Apollo 17",,,USA
Roger B. Chaffee,1963.0,Deceased,2/15/1935,"Grand Rapids, MI",Male,Purdue University,Lieutenant Commander,US Navy,1,0,0.0,0.0,Apollo 1,1/27/1967,Apollo 1,USA
Gregory E. Chamitoff,1998.0,Active,8/6/1962,"Montreal, Canada",Male,California Polytechnic State University; California Institute of Technology; MIT,,,2,4770,2.0,13.0,"STS-124 (Discovery), STS-134 (Endeavor)",,,USA
Franklin R. Chang-Diaz,1980.0,Retired,4/5/1950,"San Jose, Costa Rica",Male,University of Connecticut; MIT,,,7,1602,3.0,19.0,"STS-61-C (Columbia), STS-34 (Atlantis), STS-46 (Atlantis), STS-60 (Discovery), STS-75 (Columbia), STS-91 (Discovery), STS-111 (Endeavor)",,,USA
Philip K. Chapman,1967.0,Retired,3/5/1935,"Melbourne, Australia",Male,University of Sydney; MIT,,,0,0,0.0,0.0,,,,USA
Kalpana Chawla,1995.0,Deceased,6/1/1961,"Karnal, India",Female,Punjab Engineering College; University of Texas-Arlington; University of Colorado,,,2,734,0.0,0.0,"STS-87 (Columbia), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia),USA
Leroy Chiao,1990.0,Retired,8/28/1960,"Milwaukee, WI",Male,University of California-Berkeley; University of California-Santa Barbara,,,4,5503,6.0,36.0,"STS-65 (Columbia), STS-72 (Endeavor), STS-92 (Discovery), Soyuz TMA-5",,,USA
Kevin P. Chilton,1987.0,Retired,3/11/1954,"Los Angeles, CA",Male,US Air Force Academy; Columbia University,Brigadier General,US Air Force (Retired),3,700,0.0,0.0,"STS-49 (Endeavor), STS-59 (Endeavor), STS-76 (Atlantis)",,,USA
Laurel B. Clark,1996.0,Deceased,3/10/1961,"Ames, IA",Female,University of Wisconsin-Madison,Captain,US Navy,1,382,0.0,0.0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia),USA
Mary L. Cleave,1980.0,Retired,2/5/1947,"Southampton, NY",Female,Colorado State University; Utah State University,,,2,262,0.0,0.0,"STS-61-B (Atlantis), STS-30 (Atlantis)",,,USA
Michael R. Clifford,1990.0,Retired,10/13/1952,"San Bernardino, CA",Male,US Military Academy; Georgia Institute of Technology,Lieutenant Colonel,US Army (Retired),3,666,1.0,6.0,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",,,USA
Michael L. Coats,1978.0,Retired,1/16/1946,"Sacramento, CA",Male,US Naval Academy; George Washington University; US Naval Postgraduate School,Captain,US Navy (Retired),3,463,0.0,0.0,"STS-41-D (Discovery), STS-29 (Discovery), STS-39 (Discovery)",,,USA
Kenneth D. Cockrell,1990.0,Management,4/9/1950,"Austin, TX",Male,University of Texas; University of West Florida,,US Naval Reserves,5,1548,0.0,0.0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)",,,USA
Catherine G. Coleman,1992.0,Active,12/14/1960,"Charleston, SC",Female,MIT; University of Massachusetts,Colonel,US Air Force (Retired),3,4324,0.0,0.0,"STS-73 (Columbia), STS-93 (Columbia), Soyuz TMA-20",,,USA
Eileen M. Collins,1990.0,Retired,11/19/1959,"Elmira, NY",Female,Syracuse University; Stanford University; Webster University,Colonel,US Air Force (Retired),4,890,0.0,0.0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)",,,USA
Michael Collins,1963.0,Retired,10/31/1930,"Rome, Italy",Male,US Military Academy,,US Air Force Reserves,2,266,1.0,1.0,"Gemini 10, Apollo 11",,,USA
Charles Conrad,1962.0,Deceased,5/2/1930,"Philadelphia, PA",Male,Princeton University,Captain,US Navy (Retired),4,1179,4.0,12.0,"Gemini 5, Gemini 11, Apollo 12, Skylab 2",7/8/1999,,USA
L. Gordon Cooper,1959.0,Deceased,3/6/1927,"Shawnee, OK",Male,Air Force Institute of Technology,Colonel,US Air Force (Retired),2,225,0.0,0.0,"Mercury 9, Gemini 5",10/4/2004,,USA
Richard O. Covey,1978.0,Retired,8/1/1946,"Fayetteville, AR",Male,US Air Force Academy; Purdue University,Colonel,US Air Force (Retired),4,645,0.0,0.0,"STS-51-l (Discovery), STS-26 (Discovery), STS-38 (Atlantis), STS-61 (Endeavor)",,,USA
Timothy J. Creamer,1998.0,Management,11/15/1959,"Ft. Huachuca, AZ",Male,Loyola College; MIT,Colonel,US Army (Retired),1,3917,0.0,0.0,Soyuz TMA-17,,,USA
John O. Creighton,1978.0,Retired,4/28/1943,"Orange, TX",Male,US Naval Academy; George Washington University,Captain,US Navy (Retired),3,404,0.0,0.0,"STS-51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",,,USA
Robert L. Crippen,1969.0,Retired,9/11/1937,"Beaumont, TX",Male,University of Texas,Captain,US Navy (Retired),4,565,0.0,0.0,"STS-1 (Columbia), STS-7 (Challenger), STS-41-C (Challenger), STS-41-G (Challenger)",,,USA
Roger K. Crouch,,Retired,9/12/1940,"Jamestown, TN",Male,Tennessee Polytechnic Institute; Virginia Polytechnic Institute,,,1,471,0.0,0.0,"STS-83 (Columbia), STS-94 (Columbia)",,,USA
Frank L. Culbertson,1984.0,Retired,5/15/1949,"Charleston, SC",Male,US Naval Academy,Captain,US Navy (Retired),3,3446,1.0,5.0,"STS-38 (Atlantis), STS-51 (Discovery), STS-105 (Discovery)",,,USA
Walter Cunningham,1963.0,Retired,3/16/1932,"Creston, IA",Male,University of California-Los Angeles,Colonel,US Marine Corps Reserves,1,260,0.0,0.0,Apollo 7,,,USA
Robert L. Curbeam,1995.0,Retired,3/5/1962,"Baltimore, MD",Male,US Naval Academy; US Naval Postgraduate School,Captain,US Navy (Retired),3,902,7.0,45.0,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)",,,USA
Nancy J. Currie,1990.0,Management,12/29/1958,"Wilmington, DE",Female,Ohio State University; University of Southern California; University of Houston,Colonel,US Army (Retired),4,999,0.0,0.0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",,,USA
N. Jan Davis,1987.0,Retired,11/1/1953,"Cocoa Beach, FL",Female,Georgia Institute of Technology; Auburn University; University of Alabama-Huntsville,,,3,673,0.0,0.0,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 (Discovery)",,,USA
Lawrence J. Delucas,,Retired,7/11/1950,"Syracuse, NY",Male,University of Alabama at Birmingham,,,1,331,0.0,0.0,STS-50 (Columbia),,,USA
Alvin B. Drew,2000.0,Active,11/5/1962,"Washington, DC",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Colonel,US Air Force,2,613,2.0,13.0,"STS-118 (Endeavor), STS-133 (Discovery)",,,USA
Brian Duffy,1985.0,Retired,6/20/1953,"Boston, MA",Male,US Air Force Academy; University of Southern California,Colonel,US Air Force (Retired),4,977,0.0,0.0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",,,USA
Charles M. Duke,1966.0,Retired,10/3/1935,"Charlotte, NC",Male,US Naval Academy; MIT,Brigadier General,US Air Force (Retired),1,265,3.0,20.0,Apollo 16,,,USA
Bonnie J. Dunbar,1980.0,Retired,3/3/1949,"Sunnyside, WA",Female,University of Washington; University of Houston,,,5,1207,0.0,0.0,"STS-61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)",,,USA
Samuel T. Durrance,,Retired,9/17/1943,"Tallahassee, FL",Male,California State University; University of Colorado,,,2,614,0.0,0.0,"STS-35 (Columbia), STS-67 (Endeavor)",,,USA
James P. Dutton,2004.0,Management,11/20/1968,"Eugene, OR",Male,US Air Force Academy; University of Washington,Colonel,US Air Force,1,362,0.0,0.0,STS-131 (Discovery),,,USA
Joe F. Edwards,1995.0,Retired,2/3/1958,"Richmond, VA",Male,US Naval Academy; University of Tennessee-Knoxville,Commander,US Navy (Retired),1,211,0.0,0.0,STS-89 (Endeavor),,,USA
Donn F. Eisele,1963.0,Deceased,5/23/1930,"Columbus, OH",Male,US Naval Academy; US Air Force Institute of Technology,Colonel,US Air Force (Retired),1,260,0.0,0.0,Apollo 7,12/2/1987,,USA
Anthony W. England,1967.0,Retired,5/15/1942,"Indianapolis, IN",Male,MIT,,,1,190,0.0,0.0,STS-51-F (Challenger),,,USA
Joe H. Engle,1966.0,Retired,8/26/1932,"Dickinson, KS",Male,University of Kansas,Major General,US Air Force (Retired),2,224,0.0,0.0,"STS-2 (Columbia), STS-51-I (Discovery)",,,USA
Jeanette J. Epps,2009.0,Active,11/3/1970,"Syracuse, NY",Female,LeMoyne College; University of Maryland,,,0,0,0.0,0.0,,,,USA
Ronald E. Evans,1966.0,Deceased,11/10/1933,"St. Francis, KS",Male,University of Kansas; US Naval Postgraduate School,Captain,US Navy (Retired),1,301,1.0,1.0,Apollo 17,4/6/1990,,USA
John M. Fabian,1978.0,Retired,1/28/1939,"Goosecreek, TX",Male,Washington State University; US Air Force Institute of Technology; University of Washington,Colonel,US Air Force (Retired),2,316,0.0,0.0,"STS-7 (Challenger), STS-51-G (Discovery)",,,USA
Christopher J. Ferguson,1998.0,Retired,9/1/1961,"Philadelphia, PA",Male,Drexel University; US Naval Postgraduate School,Captain,US Navy (Retired),3,970,0.0,0.0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",,,USA
Martin J. Fettman,,Retired,12/31/1956,"Brooklyn, NY",Male,Cornell University; Colorado State University,,,1,336,0.0,0.0,STS-58 (Columbia),,,USA
Andrew J. Feustel,2000.0,Active,8/25/1965,"Lancaster, PA",Male,Purdue University; Queen’s University-Canada,,,2,687,6.0,42.0,"STS-125 (Atlantis), STS-134 (Endeavor)",,,USA
E. Michael Fincke,1996.0,Active,3/14/1967,"Pittsburgh, PA",Male,MIT; Stanford University; University of Houston-Clear Lake,Colonel,US Air Force,3,9159,9.0,48.0,"Soyuz TMA-4, Soyuz TMA-13, STS-134 (Endeavor)",,,USA
Jack D. Fischer,2009.0,Active,1/23/1974,"Louisville, CO",Male,US Air Force Academy; MIT,,,1,3258,2.0,6.0,Soyuz MS-04,,,USA
Anna L. Fisher,1978.0,Management,8/24/1949,"New York, NY",Female,University of California-Los Angeles,,,1,191,0.0,0.0,STS-51-A (Discovery),,,USA
William F. Fisher,1980.0,Retired,4/1/1946,"Dallas, TX",Male,Stanford University; University of Houston; University of Florida,,,1,170,2.0,12.0,STS-51-I (Discovery),,,USA
C. Michael Foale,1987.0,Active,1/6/1957,"Louth, England",Male,Cambridge University,,,6,8970,4.0,22.0,"STS-45 (Atlantis), STS-56 (Discovery), STS-63 (Discovery), STS-84 (Atlantis), STS-103 (Discovery), Soyuz TMA-3",,,USA
Kevin A. Ford,2000.0,Active,7/7/1960,"Portland, IN",Male,University of Notre Dame; Troy State University; University of Florida; Air Force Institute of Technology,Colonel,US Air Force (Retired),2,3781,0.0,0.0,"STS-128 (Discovery), Soyuz TMA-06M",,,USA
Michael J. Foreman,1998.0,Management,3/29/1957,"Columbus, OH",Male,US Naval Academy; US Naval Postgraduate School,Captain,US Navy (Retired),2,637,5.0,32.0,"STS-123 (Endeavor), STS-129 (Atlantis)",,,USA
Patrick G. Forrester,1996.0,Management,3/31/1957,"El Paso, TX",Male,US Military Academy; University of Virginia,Colonel,US Army (Retired),3,950,4.0,25.0,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,,USA
Michael E. Fossum,1998.0,Active,12/19/1957,"Sioux Falls, SD",Male,Texas A&M University; Air Force Institute of Technology; University of Houston-Clear Lake,,US Air Force Reserves (Retired),3,4651,7.0,48.0,"STS-121 (Discovery), STS-124 (Discovery), Soyuz TMA-02M",,,USA
Theodore C. Freeman,1963.0,Deceased,2/18/1930,"Haversford, PA",Male,US Naval Academy; University of Michigan,Captain,US Air Force,0,0,0.0,0.0,,10/31/1964,,USA
Stephen N. Frick,1996.0,Management,9/30/1961,"Pittsburgh, PA",Male,US Naval Academy; US Naval Postgraduate School,Captain,US Navy (Retired),2,566,0.0,0.0,"STS-110 (Atlantis), STS-122 (Atlantis)",,,USA
C. Gordon Fullerton,1969.0,Retired,10/11/1936,"Rochester, NY",Male,California Institute of Technology,Colonel,US Air Force (Retired),2,382,0.0,0.0,"STS-3 (Columbia), STS-51-F (Challenger)",,,USA
F. Andrew Gaffney,,Retired,6/9/1946,"Carlsbad, NM",Male,University of California-Berkeley; University of New Mexico,,,1,218,0.0,0.0,STS-40 (Columbia),,,USA
Ronald J. Garan,2000.0,Management,10/20/1961,"Yonkers, NY",Male,State University of New York; Embry-Riddle Aeronautical University; University of Florida,Colonel,US Air Force (Retired),2,4271,4.0,27.0,"STS-124 (Discovery), Soyuz TMA-21",,,USA
Dale A. Gardner,1978.0,Retired,11/8/1948,"Fairmont, MN",Male,University of Illinois,Captain,US Navy (Retired),2,336,2.0,12.0,"STS-8 (Challenger), STS-51-A (Discovery)",,,USA
Guy S. Gardner,1980.0,Retired,1/6/1948,"Alta Vista, VA",Male,US Air Force Academy; Purdue University,Colonel,US Air Force (Retired),2,320,0.0,0.0,"STS-27 (Atlantis), STS-35 (Columbia)",,,USA
Jake Garn,,Retired,10/12/1932,Richfield. UT,Male,University of Utah,,,1,167,0.0,0.0,STS-51-D (Discovery),,,USA
Owen K. Garriott,1965.0,Retired,11/22/1930,"Enid, OK",Male,University of Oklahoma; Stanford University,,,2,1674,3.0,14.0,"Skylab 3, STS-9 (Columbia)",,,USA
Charles D. Gemar,1985.0,Retired,8/4/1955,"Yanktown, SD",Male,US Military Academy,Lieutenant Colonel,US Army,3,581,0.0,0.0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",,,USA
